sqft,bedrooms,age,price
1660,2,33,90553
2094,2,40,128912
1930,4,39,137435
1895,5,18,153178
2438,3,40,138611
2969,1,1,141570
1266,4,11,111216
2038,5,28,123801
1130,4,25,69699
2282,5,23,137390
2935,5,31,177942
930,3,30,83243
2485,5,42,147752
1569,4,35,107728
2315,5,7,170291
2015,3,16,140534
1755,3,26,122695
1984,4,48,127893
1259,2,49,48819
821,2,2,78660
1547,5,1,141713
1274,1,48,75931
1882,5,12,127955
2847,4,5,164864
1775,4,37,108743
2606,4,32,158770
989,4,9,102527
1362,4,41,92338
2699,3,35,145179
2067,2,19,131827
2328,4,48,122784
1446,1,16,85251
2868,1,3,145033
2097,1,20,128824
1400,1,24,58601
2861,3,33,162340
1041,1,24,73604
2841,4,11,188342
2163,5,49,134097
2939,1,8,143266
2190,3,36,132055
2278,3,38,134509
1575,1,40,81126
834,5,20,70480
2755,1,35,119618
2385,3,48,126889
1821,2,25,90205
1929,4,35,110445
2300,3,25,128393
1502,1,29,81947
2379,4,18,155936
961,1,46,37653
1001,1,18,66747
2781,2,2,151571
1795,4,35,110216
1615,4,16,129571
1255,2,41,78762
2075,3,36,125627
1816,1,33,102189
1137,5,4,116674
1678,1,33,68777
1876,1,14,109349
1591,3,21,98588
1563,1,48,56241
1179,2,20,80186
1292,2,8,76799
1980,4,7,136408
2862,5,3,175251
864,1,17,49706
2167,1,33,110149
1952,3,48,94076
2827,2,12,169843
2295,5,22,142292
1962,4,22,126702
2322,2,46,142034
1191,4,30,77629
2498,3,38,131487
1218,3,38,99067
1178,1,45,64340
2596,5,8,194633
2888,4,27,173319
2982,2,27,159077
1000,3,34,76058
2663,1,21,137986
1579,1,30,68261
1302,4,33,92414
2551,3,28,143248
1604,5,47,124351
2946,3,33,185345
2695,4,5,179195
2370,4,48,149416
1760,3,19,124517
2285,4,4,141358
1828,3,35,96849
1302,2,49,51550
1197,3,17,88694
1670,3,44,114999
1192,4,28,80404
1006,4,30,62381
1838,1,29,102505
