Age,Salary,Experience,Purchased
56,45342,5,0
46,57157,14,1
32,87863,36,1
25,72083,32,1
38,85733,7,1
56,109045,4,1
36,54698,38,1
40,100623,3,1
28,42671,5,0
28,45184,31,1
41,113384,29,1
53,62107,34,1
57,106202,39,1
41,71663,15,1
20,35708,12,1
39,111906,29,1
19,69811,18,0
41,22811,16,0
47,76250,18,0
55,92082,27,1
19,54754,25,0
38,115742,36,1
50,31411,25,0
29,22911,22,0
39,87270,8,1
42,103763,11,0
44,28680,0,0
59,104896,0,1
45,103879,33,1
33,91295,31,1
32,108614,24,1
20,31111,39,1
54,57504,0,0
24,21802,15,0
38,28155,38,1
26,93656,4,0
56,59384,21,1
35,67254,28,1
21,41918,2,0
42,105981,11,1
31,80713,25,1
26,50306,15,1
43,36646,36,1
19,66843,21,1
37,116601,28,1
45,110735,13,1
24,36371,27,0
25,97371,4,1
52,22049,29,1
31,51616,4,0
34,40932,11,1
53,49855,15,1
57,81434,25,1
21,92694,25,1
19,63016,20,0
23,27400,38,0
59,62642,35,1
21,35151,32,1
46,71407,29,1
35,86690,36,1
43,24499,22,0
51,26295,9,0
27,79040,4,1
53,32183,35,1
31,49299,33,1
48,32874,30,0
32,52711,9,1
25,25539,18,0
31,73351,31,1
40,81267,0,0
57,68354,4,0
38,22557,3,0
33,58360,15,1
35,102018,23,1
41,22200,15,0
43,88497,1,1
42,66975,27,1
58,41357,31,1
46,97505,26,0
32,22869,19,1
18,81135,23,1
42,70108,11,1
24,114179,34,1
26,110272,32,1
41,58467,32,1
18,43328,36,1
25,111412,11,1
41,106831,2,0
28,23987,0,0
34,78871,32,1
25,42399,39,1
52,66214,9,1
52,119522,28,1
50,106416,12,1
22,90271,11,1
59,64064,30,1
56,90091,1,1
58,60818,34,1
45,65525,22,1
24,39830,16,0
26,37429,25,1
25,26893,7,1
29,99909,28,1
51,67333,25,1
50,23436,9,0
40,94290,25,1
41,96213,33,1
54,25895,6,1
52,39738,3,0
57,50746,10,1
39,69377,28,1
44,68404,35,1
52,74045,24,1
18,117888,20,1
52,59790,35,1
54,25600,9,1
31,114660,36,1
20,113179,8,1
18,60764,23,0
22,94543,34,1
43,65714,34,1
31,76835,35,1
56,93744,17,1
44,76491,38,1
26,38589,31,0
32,63484,23,1
32,102989,22,1
43,56212,31,1
59,63525,36,1
30,67202,11,1
49,52635,12,1
56,83208,22,1
49,53828,24,1
21,38711,34,1
47,23420,29,1
54,116752,16,1
40,20301,19,0
56,65236,24,1
32,86235,21,1
46,74240,12,1
53,85726,18,1
30,30492,35,0
49,26102,11,0
24,70336,18,1
39,105314,11,1
45,46641,8,1
19,54584,6,0
59,52745,27,1
23,43093,13,0
45,86105,30,1
45,71885,18,1
37,56631,15,1
47,92991,4,1
28,24014,34,1
45,31093,11,0
42,38070,24,1
56,55777,20,1
50,76958,35,1
18,102074,22,1
44,30729,15,0
30,119713,38,1
58,65017,38,1
20,86320,13,0
56,47751,30,1
23,98069,4,1
25,74748,34,1
44,25801,22,0
26,39190,28,1
54,69689,10,1
50,70993,17,1
59,49592,11,1
41,30647,8,0
32,28716,9,0
49,108891,16,1
49,107545,37,1
41,109912,6,1
58,90316,12,1
29,22368,39,1
56,97575,8,1
19,26655,26,0
20,90031,1,1
54,96429,4,1
34,111083,28,1
19,107922,36,1
19,75766,37,1
45,33403,18,1
40,52097,7,1
54,98657,0,1
49,30966,21,1
50,119157,16,1
18,113848,6,1
36,72921,24,1
19,69726,3,1
43,70300,35,1
49,42677,5,0
23,75609,30,1
49,116825,18,1
21,76661,38,1
28,51024,26,1
34,90313,9,1
