order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,,scj,Aalopuri,Vadapav,Panipuri,Frankie,sandwich,Cd coffee,,,,
1,07-03-2022,Aalopuri,Fastfood,20,13,260,,Mr.,Night,Monday,153,134,134,150,#NAME?,,,,,,
2,8/23/2022,Vadapav,Fastfood,20,15,300,Cash,Mr.,Afternoon,8/23/2022,,,,,,,,,,,
3,11/20/2022,Vadapav,Fastfood,20,1,20,Cash,Mr.,Afternoon,11/20/2022,,ITEM NAME,Night,Afternoon,Evening,Morning,Total,,,,
4,02-03-2023,Sugarcane juice,Beverages,25,6,150,Online,Mr.,Night,Thursday,,Aalopuri,26,29,19,27,101,,,,
5,10-02-2022,Sugarcane juice,Beverages,25,8,200,Online,Mr.,Evening,Thursday,,Cold coffee,39,34,30,32,135,,,,
6,11/14/2022,Vadapav,Fastfood,20,10,200,Cash,Mr.,Evening,11/14/2022,,Frankie,34,31,29,23,117,,,,
7,05-03-2022,Sugarcane juice,Beverages,25,9,225,Cash,Mr.,Evening,Saturday,,Panipuri,26,28,36,29,119,,,,
8,12/22/2022,Panipuri,Fastfood,20,14,280,Online,Mr.,Night,12/22/2022,,Sandwich,30,19,29,25,103,,,,
9,06-10-2022,Panipuri,Fastfood,20,1,20,Cash,Mrs.,Morning,Thursday,,Sugarcane juice,27,41,32,25,125,,,,
10,9/16/2022,Panipuri,Fastfood,20,5,100,Online,Mr.,Afternoon,9/16/2022,,Vadapav,23,23,26,29,101,,,,
11,12-01-2022,Frankie,Fastfood,50,8,400,Online,Mrs.,Afternoon,Wednesday,,,,,,,801,,,,
12,07-12-2022,Vadapav,Fastfood,20,8,160,Online,Mrs.,Night,Wednesday,,,,,,,,,,,
13,12/22/2022,Panipuri,Fastfood,20,9,180,Online,Mrs.,Afternoon,12/22/2022,,,,,,,,,,,
14,11/25/2022,Frankie,Fastfood,50,4,200,Online,Mr.,Morning,11/25/2022,,ITEM NAME,Cash,Online,,,,ITEM NAME,Mr.,Mrs.,
15,02-03-2023,Aalopuri,Fastfood,20,3,60,Cash,Mrs.,Evening,Thursday,,Aalopuri,66,53,0,,,Aalopuri,74,60,
16,4/14/2022,Sandwich,Fastfood,60,11,660,,Mrs.,Midnight,4/14/2022,,Cold coffee,72,66,72,,,Cold coffee,82,79,
17,10/16/2022,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Morning,10/16/2022,,Frankie,62,65,62,,,Frankie,63,76, 
18,11-05-2022,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Night,Wednesday,,Panipuri,70,65,65,,,Panipuri,77,73,
19,8/22/2022,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Night,8/22/2022,,Sandwich,63,54,54,,,Sandwich,69,60,
20,9/15/2022,Cold coffee,Beverages,40,10,400,Online,Mr.,Night,9/15/2022,,Sugarcane juice,76,60,76,,,Sugarcane juice,79,74,
21,12/21/2022,Cold coffee,Beverages,40,15,600,Cash,Mr.,Evening,12/21/2022,,Vadapav,67,54,67,,,Vadapav,68,66,
22,10-04-2022,Sugarcane juice,Beverages,25,12,300,Online,Mr.,Evening,Sunday,,,,,,,,,,,
23,5/26/2022,Sandwich,Fastfood,60,3,180,Online,Mr.,Midnight,5/26/2022,,,,,,,,,,,
24,02-11-2023,Sugarcane juice,Beverages,25,10,250,Online,Mr.,Afternoon,Thursday,,ITEM NAME,Total,,,,,,,,
25,8/31/2022,Sandwich,Fastfood,60,1,60,Online,Mrs.,Evening,8/31/2022,,Aalopuri,20880,,,,,,,,
26,8/18/2022,Sugarcane juice,Beverages,25,4,100,Cash,Mr.,Afternoon,8/18/2022,,Cold coffee,20120,,,,,,,,
27,10-12-2022,Cold coffee,Beverages,40,11,440,Online,Mrs.,Afternoon,Saturday,,Frankie,20120,,,,,,,,
28,01-06-2023,Cold coffee,Beverages,40,10,400,Online,Mrs.,Afternoon,Thursday,,Panipuri,31950,,,,,,,,
29,02-10-2023,Sugarcane juice,Beverages,25,9,225,Online,Mr.,Afternoon,Monday,,Sandwich,31950,,,,,,,,
30,1/28/2023,Frankie,Fastfood,50,2,100,Cash,Mrs.,Night,1/28/2023,,Sugarcane juice,20120,,,,,,,,
31,9/14/2022,Cold coffee,Beverages,40,13,520,Online,Mrs.,Evening,9/14/2022,,Vadapav,31950,,,,,,,,
32,05-06-2022,Aalopuri,Fastfood,20,4,80,,Mr.,Morning,Sunday,,,,,,,,,,,
33,02-05-2023,Aalopuri,Fastfood,20,13,260,Online,Mr.,Night,Tuesday,,,,,,,,,,,
34,02-04-2023,Frankie,Fastfood,50,12,600,Online,Mrs.,Evening,Sunday,,,,,,,,,,,
35,5/22/2022,Vadapav,Fastfood,20,8,160,Cash,Mr.,Morning,5/22/2022,,,,,,,,,,,
36,07-02-2022,Cold coffee,Beverages,40,10,400,Online,Mr.,Afternoon,Monday,,,,,,,,,,,
37,01-05-2023,Frankie,Fastfood,50,10,500,Cash,Mr.,Night,Monday,,,,,,,,,,,
38,03-08-2023,Panipuri,Fastfood,20,12,240,Online,Mrs.,Night,Thursday,,,,,,,,,,,
39,5/14/2022,Vadapav,Fastfood,20,2,40,Online,Mr.,Evening,5/14/2022,,,,,,,,,,,
40,02-05-2023,Sandwich,Fastfood,60,5,300,Online,Mrs.,Night,Tuesday,,,,,,,,,,,
41,11/13/2022,Cold coffee,Beverages,40,11,440,,Mr.,Afternoon,11/13/2022,,,,,,,,,,,
42,05-09-2022,Aalopuri,Fastfood,20,8,160,Online,Mrs.,Night,Monday,,,,,,,,,,,
43,5/26/2022,Vadapav,Fastfood,20,1,20,Cash,Mr.,Night,5/26/2022,,,,,,,,,,,
44,8/28/2022,Cold coffee,Beverages,40,12,480,Cash,Mr.,Evening,8/28/2022,,,,,,,,,,,
45,8/15/2022,Sugarcane juice,Beverages,25,6,150,Cash,Mrs.,Afternoon,8/15/2022,,,,,,,,,,,
46,05-07-2022,Vadapav,Fastfood,20,7,140,Cash,Mr.,Evening,Tuesday,,,,,,,,,,,
47,07-10-2022,Sandwich,Fastfood,60,7,420,,Mr.,Morning,Friday,,,,,,,,,,,
48,2/23/2023,Sandwich,Fastfood,60,14,840,Online,Mr.,Afternoon,2/23/2023,,,,,,,,,,,
49,11-06-2022,Frankie,Fastfood,50,4,200,Online,Mrs.,Morning,Saturday,,,,,,,,,,,
50,11-02-2022,Vadapav,Fastfood,20,8,160,Cash,Mrs.,Midnight,Friday,,,,,,,,,,,
51,5/16/2022,Frankie,Fastfood,50,15,750,Online,Mrs.,Morning,5/16/2022,,,,,,,,,,,
52,3/16/2023,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight,3/16/2023,,,,,,,,,,,
53,7/26/2022,Aalopuri,Fastfood,20,13,260,Cash,Mr.,Afternoon,7/26/2022,,,,,,,,,,,
54,12/28/2022,Panipuri,Fastfood,20,14,280,Online,Mrs.,Morning,12/28/2022,,,,,,,,,,,
55,05-07-2022,Sandwich,Fastfood,60,10,600,Cash,Mr.,Night,Tuesday,,,,,,,,,,,
56,11/23/2022,Panipuri,Fastfood,20,11,220,Cash,Mrs.,Midnight,11/23/2022,,,,,,,,,,,
57,08-04-2022,Panipuri,Fastfood,20,14,280,Online,Mrs.,Morning,Friday,,,,,,,,,,,
58,02-03-2023,Vadapav,Fastfood,20,6,120,Online,Mrs.,Morning,Thursday,,,,,,,,,,,
59,07-01-2022,Vadapav,Fastfood,20,5,100,Cash,Mr.,Morning,Friday,,,,,,,,,,,
60,06-11-2022,Cold coffee,Beverages,40,2,80,Online,Mr.,Night,Sunday,,,,,,,,,,,
61,12/25/2022,Vadapav,Fastfood,20,14,280,Cash,Mrs.,Afternoon,12/25/2022,,,,,,,,,,,
62,10/17/2022,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Afternoon,10/17/2022,,,,,,,,,,,
63,12-01-2022,Sandwich,Fastfood,60,7,420,Online,Mrs.,Morning,Wednesday,,,,,,,,,,,
64,12-09-2022,Cold coffee,Beverages,40,1,40,Cash,Mr.,Morning,Monday,,,,,,,,,,,
65,7/25/2022,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Morning,7/25/2022,,,,,,,,,,,
66,04-05-2022,Frankie,Fastfood,50,2,100,Cash,Mrs.,Morning,Wednesday,,,,,,,,,,,
67,5/15/2022,Aalopuri,Fastfood,20,9,180,Cash,Mr.,Midnight,5/15/2022,,,,,,,,,,,
68,12/17/2022,Cold coffee,Beverages,40,2,80,,Mr.,Night,12/17/2022,,,,,,,,,,,
69,01-10-2023,Vadapav,Fastfood,20,7,140,Cash,Mr.,Midnight,Sunday,,,,,,,,,,,
70,05-09-2022,Cold coffee,Beverages,40,14,560,,Mrs.,Morning,Monday,,,,,,,,,,,
71,12-05-2022,Cold coffee,Beverages,40,6,240,Online,Mr.,Night,Thursday,,,,,,,,,,,
72,03-09-2023,Frankie,Fastfood,50,13,650,Online,Mr.,Afternoon,Sunday,,,,,,,,,,,
73,7/29/2022,Panipuri,Fastfood,20,5,100,Cash,Mr.,Midnight,7/29/2022,,,,,,,,,,,
74,8/15/2022,Cold coffee,Beverages,40,10,400,Online,Mrs.,Evening,8/15/2022,,,,,,,,,,,
75,02-02-2023,Cold coffee,Beverages,40,6,240,Online,Mrs.,Afternoon,Thursday,,,,,,,,,,,
76,8/17/2022,Vadapav,Fastfood,20,9,180,Online,Mr.,Morning,8/17/2022,,,,,,,,,,,
77,02-04-2023,Sugarcane juice,Beverages,25,12,300,Cash,Mrs.,Midnight,Sunday,,,,,,,,,,,
78,10-01-2022,Vadapav,Fastfood,20,4,80,Cash,Mrs.,Evening,Monday,,,,,,,,,,,
79,11-05-2022,Panipuri,Fastfood,20,6,120,Online,Mr.,Night,Wednesday,,,,,,,,,,,
80,5/24/2022,Frankie,Fastfood,50,13,650,Cash,Mr.,Evening,5/24/2022,,,,,,,,,,,
81,11/19/2022,Frankie,Fastfood,50,12,600,Online,Mrs.,Night,11/19/2022,,,,,,,,,,,
82,7/17/2022,Frankie,Fastfood,50,3,150,Online,Mrs.,Evening,7/17/2022,,,,,,,,,,,
83,11/13/2022,Frankie,Fastfood,50,11,550,,Mr.,Evening,11/13/2022,,,,,,,,,,,
84,03-03-2023,Panipuri,Fastfood,20,13,260,Cash,Mr.,Midnight,Friday,,,,,,,,,,,
85,8/19/2022,Aalopuri,Fastfood,20,3,60,Online,Mrs.,Night,8/19/2022,,,,,,,,,,,
86,03-09-2023,Aalopuri,Fastfood,20,15,300,Cash,Mr.,Morning,Sunday,,,,,,,,,,,
87,5/29/2022,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Night,5/29/2022,,,,,,,,,,,
88,07-07-2022,Cold coffee,Beverages,40,10,400,Cash,Mr.,Evening,Thursday,,,,,,,,,,,
89,12/23/2022,Aalopuri,Fastfood,20,14,280,Cash,Mr.,Evening,12/23/2022,,,,,,,,,,,
90,10/29/2022,Vadapav,Fastfood,20,15,300,Online,Mr.,Night,10/29/2022,,,,,,,,,,,
91,3/22/2023,Cold coffee,Beverages,40,6,240,,Mrs.,Evening,3/22/2023,,,,,,,,,,,
92,5/13/2022,Aalopuri,Fastfood,20,15,300,Cash,Mr.,Afternoon,5/13/2022,,,,,,,,,,,
93,07-03-2022,Cold coffee,Beverages,40,2,80,Online,Mrs.,Midnight,Monday,,,,,,,,,,,
94,9/14/2022,Aalopuri,Fastfood,20,15,300,,Mrs.,Night,9/14/2022,,,,,,,,,,,
95,05-12-2022,Sugarcane juice,Beverages,25,8,200,Online,Mr.,Night,Monday,,,,,,,,,,,
96,8/22/2022,Sandwich,Fastfood,60,15,900,,Mr.,Morning,8/22/2022,,,,,,,,,,,
97,3/29/2023,Cold coffee,Beverages,40,13,520,Online,Mr.,Evening,3/29/2023,,,,,,,,,,,
98,12/24/2022,Vadapav,Fastfood,20,1,20,Online,Mr.,Morning,12/24/2022,,,,,,,,,,,
99,09-11-2022,Sugarcane juice,Beverages,25,3,75,Cash,Mr.,Evening,Wednesday,,,,,,,,,,,
100,05-08-2022,Panipuri,Fastfood,20,11,220,,Mr.,Morning,Friday,,,,,,,,,,,
101,3/26/2023,Vadapav,Fastfood,20,3,60,Online,Mrs.,Morning,3/26/2023,,,,,,,,,,,
102,3/13/2023,Cold coffee,Beverages,40,14,560,Cash,Mr.,Morning,3/13/2023,,,,,,,,,,,
103,3/14/2023,Cold coffee,Beverages,40,8,320,Online,Mrs.,Midnight,3/14/2023,,,,,,,,,,,
104,10/27/2022,Cold coffee,Beverages,40,13,520,Online,Mr.,Morning,10/27/2022,,,,,,,,,,,
105,1/25/2023,Panipuri,Fastfood,20,8,160,Cash,Mrs.,Evening,1/25/2023,,,,,,,,,,,
106,2/25/2023,Frankie,Fastfood,50,9,450,Cash,Mrs.,Evening,2/25/2023,,,,,,,,,,,
107,02-07-2023,Sandwich,Fastfood,60,4,240,Online,Mr.,Afternoon,Sunday,,,,,,,,,,,
108,08-06-2022,Panipuri,Fastfood,20,5,100,Online,Mr.,Afternoon,Wednesday,,,,,,,,,,,
109,08-08-2022,Cold coffee,Beverages,40,12,480,,Mr.,Afternoon,Monday,,,,,,,,,,,
110,11/16/2022,Panipuri,Fastfood,20,2,40,Online,Mrs.,Morning,11/16/2022,,,,,,,,,,,
111,09-04-2022,Sandwich,Fastfood,60,8,480,Cash,Mrs.,Midnight,Saturday,,,,,,,,,,,
112,2/24/2023,Sandwich,Fastfood,60,7,420,Cash,Mr.,Morning,2/24/2023,,,,,,,,,,,
113,12-12-2022,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Afternoon,Monday,,,,,,,,,,,
114,8/14/2022,Aalopuri,Fastfood,20,10,200,Online,Mr.,Afternoon,8/14/2022,,,,,,,,,,,
115,01-12-2023,Aalopuri,Fastfood,20,13,260,,Mr.,Evening,Friday,,,,,,,,,,,
116,8/26/2022,Sugarcane juice,Beverages,25,13,325,Cash,Mr.,Evening,8/26/2022,,,,,,,,,,,
117,03-09-2023,Frankie,Fastfood,50,7,350,Online,Mrs.,Evening,Sunday,,,,,,,,,,,
118,07-06-2022,Sandwich,Fastfood,60,1,60,Online,Mr.,Midnight,Tuesday,,,,,,,,,,,
119,05-12-2022,Panipuri,Fastfood,20,10,200,Cash,Mr.,Evening,Monday,,,,,,,,,,,
120,07-10-2022,Frankie,Fastfood,50,2,100,Cash,Mrs.,Evening,Friday,,,,,,,,,,,
