order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,,received_by,time_of_sale,Day,,,,,,,,,,,,,,,,,,
1,03-07-2022,Aalopuri,Fastfood,20,13,260,,Credit,Mr.,Night,Sunday,,,,,,,,,,,,,,,,,,
2,23-08-2022,Vadapav,Fastfood,20,15,300,Cash,Cash,Mr.,Afternoon,Tuesday,,,,,,,,,,,,,,,,,,
3,20-11-2022,Vadapav,Fastfood,20,1,20,Cash,Cash,Mr.,Afternoon,Sunday,,ITEM NAME,Night,Afternoon,Evening,Morning,Total,,,,ITEM NAME,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
4,03-02-2023,Sugarcane juice,Beverages,25,6,150,Online,Online,Mr.,Night,Friday,,Aalopuri,26,29,19,27,101,,,,Aalopuri,20,13,18,17,19,23,24
5,02-10-2022,Sugarcane juice,Beverages,25,8,200,Online,Online,Mr.,Evening,Sunday,,Cold coffee,39,34,30,32,135,,,,Cold coffee,28,24,24,21,24,22,18
6,14-11-2022,Vadapav,Fastfood,20,10,200,Cash,Cash,Mr.,Evening,Monday,,Frankie,34,31,29,23,117,,,,Frankie,16,20,16,19,22,16,30
7,03-05-2022,Sugarcane juice,Beverages,25,9,225,Cash,Cash,Mr.,Evening,Tuesday,,Panipuri,26,28,36,29,119,,,,Panipuri,16,12,37,23,19,23,20
8,22-12-2022,Panipuri,Fastfood,20,14,280,Online,Online,Mr.,Night,Thursday,,Sandwich,30,19,29,25,103,,,,Sandwich,18,18,18,20,14,18,23
9,10-06-2022,Panipuri,Fastfood,20,1,20,Cash,Cash,Mrs.,Morning,Friday,,Sugarcane juice,27,41,32,25,125,,,,Sugarcane juice,19,20,17,23,27,26,21
10,16-09-2022,Panipuri,Fastfood,20,5,100,Online,Online,Mr.,Afternoon,Friday,,Vadapav,23,23,26,29,101,,,,Vadapav,24,15,29,13,9,22,22
11,01-12-2022,Frankie,Fastfood,50,8,400,Online,Online,Mrs.,Afternoon,Thursday,,,,,,,801,,,,Total,141,122,159,136,134,150,158
12,12-07-2022,Vadapav,Fastfood,20,8,160,Online,Online,Mrs.,Night,Tuesday,,,,,,,,,,,,,,,,,,
13,22-12-2022,Panipuri,Fastfood,20,9,180,Online,Online,Mrs.,Afternoon,Thursday,,,,,,,,,,,,,,,,,,
14,25-11-2022,Frankie,Fastfood,50,4,200,Online,Online,Mr.,Morning,Friday,,ITEM NAME,Cash,Online,Credit,,,ITEM NAME,Mr.,Mrs.,,,,,,,,
15,03-02-2023,Aalopuri,Fastfood,20,3,60,Cash,Cash,Mrs.,Evening,Friday,,Aalopuri,66,53,15,,,Aalopuri,74,60,,,,,,,,
16,14-04-2022,Sandwich,Fastfood,60,11,660,,Credit,Mrs.,Midnight,Thursday,,Cold coffee,72,66,23,,,Cold coffee,82,79,,,,,,,,
17,16-10-2022,Panipuri,Fastfood,20,11,220,Cash,Cash,Mrs.,Morning,Sunday,,Frankie,62,65,12,,,Frankie,63,76, ,,,,,,,
18,05-11-2022,Panipuri,Fastfood,20,10,200,Cash,Cash,Mrs.,Night,Saturday,,Panipuri,70,65,15,,,Panipuri,77,73,,,,,,,,
19,22-08-2022,Panipuri,Fastfood,20,11,220,Cash,Cash,Mrs.,Night,Monday,,Sandwich,63,54,12,,,Sandwich,69,60,,,,,,,,
20,15-09-2022,Cold coffee,Beverages,40,10,400,Online,Online,Mr.,Night,Thursday,,Sugarcane juice,76,60,17,,,Sugarcane juice,79,74,,,,,,,,
21,21-12-2022,Cold coffee,Beverages,40,15,600,Cash,Cash,Mr.,Evening,Wednesday,,Vadapav,67,54,13,,,Vadapav,68,66,,,,,,,,
22,04-10-2022,Sugarcane juice,Beverages,25,12,300,Online,Online,Mr.,Evening,Tuesday,,,,,,,,,,,,,,,,,,
23,26-05-2022,Sandwich,Fastfood,60,3,180,Online,Online,Mr.,Midnight,Thursday,,,,,,,,,,,,,,,,,,
24,11-02-2023,Sugarcane juice,Beverages,25,10,250,Online,Online,Mr.,Afternoon,Saturday,,ITEM NAME,Total,,,,,,,,,,,,,,,
25,31-08-2022,Sandwich,Fastfood,60,1,60,Online,Online,Mrs.,Evening,Wednesday,,Aalopuri,20880,,,,,,,,,,,,,,,
26,18-08-2022,Sugarcane juice,Beverages,25,4,100,Cash,Cash,Mr.,Afternoon,Thursday,,Cold coffee,20120,,,,,,,,,,,,,,,
27,12-10-2022,Cold coffee,Beverages,40,11,440,Online,Online,Mrs.,Afternoon,Wednesday,,Frankie,20120,,,,,,,,,,,,,,,
28,06-01-2023,Cold coffee,Beverages,40,10,400,Online,Online,Mrs.,Afternoon,Friday,,Panipuri,31950,,,,,,,,,,,,,,,
29,10-02-2023,Sugarcane juice,Beverages,25,9,225,Online,Online,Mr.,Afternoon,Friday,,Sandwich,31950,,,,,,,,,,,,,,,
30,28-01-2023,Frankie,Fastfood,50,2,100,Cash,Cash,Mrs.,Night,Saturday,,Sugarcane juice,20120,,,,,,,,,,,,,,,
31,14-09-2022,Cold coffee,Beverages,40,13,520,Online,Online,Mrs.,Evening,Wednesday,,Vadapav,31950,,,,,,,,,,,,,,,
32,06-05-2022,Aalopuri,Fastfood,20,4,80,,Credit,Mr.,Morning,Friday,,,,,,,,,,,,,,,,,,
33,05-02-2023,Aalopuri,Fastfood,20,13,260,Online,Online,Mr.,Night,Sunday,,,,,,,,,,,,,,,,,,
34,04-02-2023,Frankie,Fastfood,50,12,600,Online,Online,Mrs.,Evening,Saturday,,,,,,,,,,,,,,,,,,
35,22-05-2022,Vadapav,Fastfood,20,8,160,Cash,Cash,Mr.,Morning,Sunday,,,,,,,,,,,,,,,,,,
36,02-07-2022,Cold coffee,Beverages,40,10,400,Online,Online,Mr.,Afternoon,Saturday,,,,,,,,,,,,,,,,,,
37,05-01-2023,Frankie,Fastfood,50,10,500,Cash,Cash,Mr.,Night,Thursday,,,,,,,,,,,,,,,,,,
38,08-03-2023,Panipuri,Fastfood,20,12,240,Online,Online,Mrs.,Night,Wednesday,,,,,,,,,,,,,,,,,,
39,14-05-2022,Vadapav,Fastfood,20,2,40,Online,Online,Mr.,Evening,Saturday,,,,,,,,,,,,,,,,,,
40,05-02-2023,Sandwich,Fastfood,60,5,300,Online,Online,Mrs.,Night,Sunday,,,,,,,,,,,,,,,,,,
41,13-11-2022,Cold coffee,Beverages,40,11,440,,Credit,Mr.,Afternoon,Sunday,,,,,,,,,,,,,,,,,,
42,09-05-2022,Aalopuri,Fastfood,20,8,160,Online,Online,Mrs.,Night,Monday,,,,,,,,,,,,,,,,,,
43,26-05-2022,Vadapav,Fastfood,20,1,20,Cash,Cash,Mr.,Night,Thursday,,,,,,,,,,,,,,,,,,
44,28-08-2022,Cold coffee,Beverages,40,12,480,Cash,Cash,Mr.,Evening,Sunday,,,,,,,,,,,,,,,,,,
45,15-08-2022,Sugarcane juice,Beverages,25,6,150,Cash,Cash,Mrs.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
46,07-05-2022,Vadapav,Fastfood,20,7,140,Cash,Cash,Mr.,Evening,Saturday,,,,,,,,,,,,,,,,,,
47,10-07-2022,Sandwich,Fastfood,60,7,420,,Credit,Mr.,Morning,Sunday,,,,,,,,,,,,,,,,,,
48,23-02-2023,Sandwich,Fastfood,60,14,840,Online,Online,Mr.,Afternoon,Thursday,,,,,,,,,,,,,,,,,,
49,06-11-2022,Frankie,Fastfood,50,4,200,Online,Online,Mrs.,Morning,Sunday,,,,,,,,,,,,,,,,,,
50,02-11-2022,Vadapav,Fastfood,20,8,160,Cash,Cash,Mrs.,Midnight,Wednesday,,,,,,,,,,,,,,,,,,
