Person1_Age,Person2_Age,Person1_Gender,Person2_Gender,Same_Last_Name,Marital_Status,Living_Together_Duration,Household_Role_P1,Household_Role_P2,Relationship_Label
61,3,Male,Female,Yes,Single,8.7,Grandfather,Granddaughter,Grandfather-Granddaughter
64,8,Female,Female,Yes,Married,7.0,Grandmother,Granddaughter,Grandmother-Granddaughter
61,23,Male,Male,Yes,Single,27.2,Father,Son,Father-Son
67,33,Male,Male,No,Single,2.2,Roommate,Roommate,Unrelated
63,11,Female,Male,Yes,Single,26.8,Mother,Son,Mother-Son
29,11,Female,Female,Yes,Divorced,2.8,Mother,Daughter,Mother-Daughter
61,18,Male,Female,Yes,Widowed,12.7,Grandfather,Granddaughter,Grandfather-Granddaughter
62,44,Male,Female,Yes,Married,18.8,Father,Daughter,Father-Daughter
45,23,Female,Male,Yes,Divorced,3.0,Mother,Son,Mother-Son
52,6,Female,Male,Yes,Single,9.2,Grandmother,Grandson,Grandmother-Grandson
51,18,Male,Male,Yes,Married,22.8,Father,Son,Father-Son
39,32,Male,Female,Yes,Single,15.9,Brother,Sister,Brother-Sister
61,13,Male,Male,Yes,Married,2.4,Father,Son,Father-Son
66,48,Female,Male,No,Single,6.0,Roommate,Roommate,Unrelated
31,10,Female,Female,Yes,Widowed,7.3,Mother,Daughter,Mother-Daughter
54,1,Female,Male,Yes,Widowed,1.6,Mother,Son,Mother-Son
63,26,Male,Male,Yes,Single,2.8,Father,Son,Father-Son
58,4,Female,Female,Yes,Single,7.2,Grandmother,Granddaughter,Grandmother-Granddaughter
56,10,Female,Female,Yes,Single,25.9,Grandmother,Granddaughter,Grandmother-Granddaughter
56,44,Male,Female,No,Single,23.3,Roommate,Roommate,Unrelated
25,0,Female,Female,Yes,Widowed,8.8,Mother,Daughter,Mother-Daughter
52,4,Female,Female,Yes,Married,19.9,Grandmother,Granddaughter,Grandmother-Granddaughter
18,20,Male,Male,Yes,Single,21.9,Roommate,Roommate,Unrelated
69,28,Female,Female,Yes,Divorced,18.2,Grandmother,Granddaughter,Grandmother-Granddaughter
30,4,Female,Female,Yes,Married,18.1,Mother,Daughter,Mother-Daughter
12,4,Female,Female,Yes,Single,13.4,Sister,Sister,Sister-Sister
81,27,Female,Female,Yes,Divorced,3.6,Grandmother,Granddaughter,Grandmother-Granddaughter
44,68,Female,Male,No,Single,26.9,Roommate,Roommate,Unrelated
78,15,Male,Male,Yes,Divorced,29.3,Grandfather,Grandson,Grandfather-Grandson
51,41,Female,Female,Yes,Single,8.8,Sister,Sister,Sister-Sister
10,3,Male,Female,Yes,Single,11.1,Brother,Sister,Brother-Sister
58,4,Male,Female,Yes,Married,23.1,Father,Daughter,Father-Daughter
74,14,Female,Male,Yes,Married,8.0,Grandmother,Grandson,Grandmother-Grandson
50,14,Female,Female,Yes,Married,14.7,Grandmother,Granddaughter,Grandmother-Granddaughter
22,69,Female,Female,No,Single,7.0,Roommate,Roommate,Unrelated
69,6,Female,Male,Yes,Single,4.0,Grandmother,Grandson,Grandmother-Grandson
34,24,Male,Female,Yes,Single,3.0,Brother,Sister,Brother-Sister
33,28,Male,Male,Yes,Single,19.9,Brother,Brother,Brother-Brother
87,48,Female,Male,Yes,Married,28.3,Grandmother,Grandson,Grandmother-Grandson
